Season,Lg,1st,perc1,2nd,perc2,3rd,perc3,4th,perc4,5th,perc5,6th,perc6,7th,perc7,8th,perc8,9th,perc9,10th,perc10
2016-17,NBA,C. McCollum ,0.9116,I. Thomas ,0.9091,K. Irving ,0.9055,D. Gallinari ,0.9018,P. George ,0.8984,S. Curry ,0.8978,D. Lillard ,0.8954,B. Bogdanovic ,0.8930,M. Belinelli ,0.8929,C. Paul ,0.8923
2015-16,NBA,S. Curry ,0.9075,J. Crawford ,0.9041,K. Durant ,0.8976,C. Paul ,0.8963,D. Nowitzki ,0.8929,D. Lillard ,0.8922,K. Martin ,0.8895,K. Middleton ,0.8878,J. Redick ,0.8878,K. Irving ,0.8848
2014-15,NBA,S. Curry ,0.9139,J. Meeks ,0.9063,J. Redick ,0.9015,J. Crawford ,0.9008,C. Paul ,0.9003,D. Gallinari ,0.8953,N. Young ,0.8919,D. Nowitzki ,0.8824,J. Jack ,0.8811,K. Martin ,0.8808
2013-14,NBA,B. Roberts ,0.9398,D. Nowitzki ,0.8989,R. Jackson ,0.8927,K. Martin ,0.8912,D. Augustin ,0.8855,S. Curry ,0.8851,K. Durant ,0.8733,D. Lillard ,0.8709,J. Crawford ,0.8665,J. Harden ,0.8662
2012-13,NBA,K. Durant ,0.9053,S. Curry ,0.9003,J. Redick ,0.9000,K. Martin ,0.8902,R. Allen ,0.8861,C. Paul ,0.8854,I. Thomas ,0.8815,J. Teague ,0.8805,D. Collison ,0.8800,J. Crawford ,0.8710
2011-12,NBA,J. Crawford ,0.9272,J. Redick ,0.9108,D. Nowitzki ,0.8958,S. Nash ,0.8944,K. Martin ,0.8939,L. Ridnour ,0.8908,R. Anderson ,0.8772,D. Augustin ,0.8750,D. Granger ,0.8729,A. Bargnani ,0.8728
2010-11,NBA,S. Curry ,0.9339,C. Billups ,0.9165,S. Nash ,0.9116,D. Augustin ,0.9057,J. Meeks ,0.8941,R. Foye ,0.8926,D. Nowitzki ,0.8916,K. Martin ,0.8879,R. Allen ,0.8813,K. Durant ,0.8800
2009-10,NBA,S. Nash ,0.9378,D. Nowitzki ,0.9147,R. Allen ,0.9130,C. Billups ,0.9102,L. Ridnour ,0.9071,K. Durant ,0.9000,M. Williams ,0.8939,R. Foye ,0.8897,S. Curry ,0.8850,K. Martin ,0.8765
2008-09,NBA,J. Calderon ,0.9805,R. Allen ,0.9518,S. Nash ,0.9333,C. Billups ,0.9127,M. Williams ,0.9123,D. Augustin ,0.8927,D. Nowitzki ,0.8899,D. West ,0.8843,M. Ginobili ,0.8842,L. Barbosa ,0.8814
2007-08,NBA,P. Stojakovic ,0.9286,C. Billups ,0.9176,B. Gordon ,0.9078,R. Allen ,0.9072,S. Nash ,0.9061,C. Butler ,0.9008,J. Stackhouse ,0.8919,D. Fisher ,0.8830,S. Cassell ,0.8819,D. Nowitzki ,0.8787
2006-07,NBA,K. Korver ,0.9139,M. Carroll ,0.9038,D. Nowitzki ,0.9038,R. Allen ,0.9029,S. Nash ,0.8988,E. Boykins ,0.8980,T. Lue ,0.8834,C. Billups ,0.8833,D. Wilkins ,0.8824,S. Cassell ,0.8791
2005-06,NBA,S. Nash ,0.9211,P. Stojakovic ,0.9154,R. Allen ,0.9025,D. Nowitzki ,0.9013,W. Szczerbiak ,0.8968,C. Billups ,0.8942,J. Stackhouse ,0.8824,M. Redd ,0.8774,L. Ridnour ,0.8767,E. Boykins ,0.8736
